slug,sha,module,im/es,im/ic,esR,esT,icR,icT,imR,imT
https://github.com/Activiti/Activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,activiti-engine,26.0414,3.3509,0-00:10:04,604,0-01:18:14,4694,0-04:22:09,15729
https://github.com/Activiti/Activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,activiti-spring-boot-starter,3.1703,1.9675,0-00:03:49,229,0-00:06:09,369,0-00:12:06,726
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-httpfs,5.0017,3.2976,0-00:09:56,596,0-00:15:04,904,0-00:49:41,2981
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-hdfs-project/hadoop-hdfs-nfs,1.7223,1.4659,0-00:12:29,749,0-00:14:40,880,0-00:21:30,1290
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app,4.3479,2.6957,0-00:23:20,1400,0-00:37:38,2258,0-01:41:27,6087
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core,4.3864,2.2814,0-00:14:01,841,0-00:26:57,1617,0-01:01:29,3689
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient,4.0769,1.4899,0-02:00:00,7200,0-05:28:22,19702,0-08:09:14,29354
https://github.com/apache/hbase,801fc05e9c082ab12c7c1207087d3667ab162d1a,hbase-server,17.5172,3.2745,0-02:52:00,10320,0-15:20:07,55207,2-02:12:58,180778
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-cluster,4.1946,2.0600,0-00:03:41,221,0-00:07:30,450,0-00:15:27,927
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-common,11.4418,4.4487,0-00:04:52,292,0-00:12:31,751,0-00:55:41,3341
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-config/dubbo-config-api,10.1581,5.3139,0-00:03:35,215,0-00:06:51,411,0-00:36:24,2184
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-monitor/dubbo-monitor-default,1.0118,1.0361,0-00:04:15,255,0-00:04:09,249,0-00:04:18,258
