PID,Detected,N/A,Submitted,Accepted,Rejected
P1,1,0,0,0,0
P2,1,0,1,0,0
P3,1,0,1,1,0
P4,2,0,0,0,0
P5,1,0,1,1,0
P6,1,0,1,0,0
P7,1,0,0,0,0
P8,1,0,0,0,0
P9,1,0,1,0,0
P10,1,0,1,0,0
P11,1,0,1,1,0
P12,2,0,1,1,0
P13,2,0,2,2,0
P14,3,0,2,0,0
P15,1,1,N/A,0,0
P16,3,0,3,0,0
P17,1,0,1,0,0
P18,2,0,0,0,0
P19,1,0,1,1,0
P20,1,0,1,0,0
P21,1,0,1,0,0
P22,1,0,1,1,0
P23,1,0,0,0,0
P24,1,0,1,0,0
P25,1,0,0,0,0
P26,1,0,1,1,0
P27,6,0,5,5,0
P28,1,0,1,0,0
P29,1,0,1,0,0
P30,1,0,1,1,0
P31,1,0,1,1,0
P32,1,0,1,0,0
P33,1,1,N/A,0,0
P34,2,0,2,1,0
P35,1,0,0,0,0
P36,1,0,1,1,0
P37,1,0,0,0,0
P38,1,0,0,0,0
P39,1,0,0,0,0
P40,2,2,N/A,0,0
P41,1,0,0,0,0
P42,1,0,0,0,0
P43,2,2,N/A,0,0
P44,1,0,0,0,0
P45,1,0,0,0,0
P46,1,0,1,0,0
P47,2,2,N/A,0,0
P48,1,0,0,0,0
P49,2,0,0,0,0
P50,1,0,1,0,1
P51,4,0,4,0,0
P52,4,0,3,3,0
P53,1,0,1,1,0
P54,1,0,1,0,0
P55,2,0,2,2,0
P56,1,0,1,0,0
P57,1,0,0,0,0
P58,1,0,0,0,0
P59,2,0,2,0,0
P60,1,0,1,1,0
P61,1,0,0,0,0
P62,3,0,2,2,0
P63,1,0,0,0,0
P64,1,0,1,0,0
P65,1,0,1,1,0
P66,1,0,0,0,0
P67,1,0,1,0,0
P68,1,1,N/A,0,0
P69,1,0,1,1,0
P70,1,0,1,1,0
P71,3,0,3,0,0
P72,1,0,1,1,0
P73,1,0,0,0,0
P74,3,3,N/A,0,0
P75,4,0,3,0,0
P76,1,0,1,1,0
P77,2,0,2,0,0
P78,1,0,0,0,0
P79,2,2,N/A,0,0
P80,1,0,1,1,0
P81,1,0,1,0,0
P82,3,0,3,3,0
P83,4,0,4,0,0
P84,1,0,1,1,0
P85,5,4,1,1,0
P86,2,2,N/A,0,0
P87,1,0,1,0,0
P88,2,2,N/A,0,0
P89,1,0,1,1,0
P90,1,0,0,0,0
Total,138,22,82,39,1
======== Generating Figure 6 all tests Venn diagram
only_nio 102
only_victim 3132
detected_both 36
======== Generating Figure 6 fixed tests Venn diagram
fixed_only_nio 66
fixed_both 16
